Material,Quantity,Weight,Type,Size Range,Price
Groundnut,26,9,Industry,8mm to 90mm,4760
Groundnut,38,2,Industry,8mm to 90mm,5476
Groundnut,40,8,Industry,8mm to 90mm,5070
Cowdung,61,38,Land,8mm to 20mm,3810
Cowdung,78,39,Land,8mm to 20mm,3215
Paddy Straw,26,34,Farming Land,12mm to 70mm,3265
Groundnut,22,10,Industry,8mm to 90mm,4909
Pressmud,50,27,Sugarcane Industry,12mm to 20mm,2230
Pressmud,56,37,Sugarcane Industry,12mm to 20mm,1978
Groundnut,22,15,Industry,8mm to 90mm,4927
Cowdung,78,41,Land,8mm to 20mm,3846
Cowdung,70,45,Land,8mm to 20mm,3906
Paddy Straw,28,31,Farming Land,12mm to 70mm,3885
Groundnut,32,8,Industry,8mm to 90mm,5447
Paddy Straw,20,47,Farming Land,12mm to 70mm,3046
Cowdung,66,46,Land,8mm to 20mm,3912
Paddy Straw,26,39,Farming Land,12mm to 70mm,3230
Pressmud,43,40,Sugarcane Industry,12mm to 20mm,2148
Sawdust,24,19,Industry,8mm to 90mm,3938
Pressmud,57,26,Sugarcane Industry,12mm to 20mm,1994
Pressmud,46,23,Sugarcane Industry,12mm to 20mm,2194
Sawdust,19,20,Industry,8mm to 90mm,4221
Paddy Straw,30,32,Farming Land,12mm to 70mm,3273
Groundnut,20,19,Industry,8mm to 90mm,5419
Groundnut,30,18,Industry,8mm to 90mm,4729
Groundnut,38,9,Industry,8mm to 90mm,4545
Cowdung,69,43,Land,8mm to 20mm,3389
Groundnut,35,19,Industry,8mm to 90mm,4713
Paddy Straw,24,34,Farming Land,12mm to 70mm,3467
Paddy Straw,20,43,Farming Land,12mm to 70mm,3567
Groundnut,36,19,Industry,8mm to 90mm,4702
Pressmud,41,31,Sugarcane Industry,12mm to 20mm,1628
Groundnut,21,14,Industry,8mm to 90mm,4554
Cowdung,78,50,Land,8mm to 20mm,3336
Groundnut,38,10,Industry,8mm to 90mm,4534
Paddy Straw,13,41,Farming Land,12mm to 70mm,3044
Pressmud,43,29,Sugarcane Industry,12mm to 20mm,1881
Groundnut,40,15,Industry,8mm to 90mm,4557
Pressmud,57,40,Sugarcane Industry,12mm to 20mm,2057
Groundnut,32,15,Industry,8mm to 90mm,5295
Cowdung,66,38,Land,8mm to 20mm,3092
Cowdung,80,32,Land,8mm to 20mm,3002
Sawdust,23,13,Industry,8mm to 90mm,3911
Pressmud,58,35,Sugarcane Industry,12mm to 20mm,2481
Paddy Straw,13,46,Farming Land,12mm to 70mm,2942
Groundnut,28,5,Industry,8mm to 90mm,5066
Groundnut,36,19,Industry,8mm to 90mm,4954
Cowdung,65,46,Land,8mm to 20mm,3427
Pressmud,58,37,Sugarcane Industry,12mm to 20mm,2141
Paddy Straw,30,33,Farming Land,12mm to 70mm,3493
Pressmud,45,22,Sugarcane Industry,12mm to 20mm,1819
Cowdung,76,47,Land,8mm to 20mm,3176
Paddy Straw,17,47,Farming Land,12mm to 70mm,3445
Groundnut,30,13,Industry,8mm to 90mm,5063
Cowdung,70,48,Land,8mm to 20mm,3711
Groundnut,27,8,Industry,8mm to 90mm,4746
Sawdust,20,24,Industry,8mm to 90mm,3786
Pressmud,51,24,Sugarcane Industry,12mm to 20mm,2055
Paddy Straw,17,49,Farming Land,12mm to 70mm,3817
Pressmud,42,39,Sugarcane Industry,12mm to 20mm,1791
Pressmud,58,22,Sugarcane Industry,12mm to 20mm,1791
Pressmud,59,21,Sugarcane Industry,12mm to 20mm,2424
Paddy Straw,27,36,Farming Land,12mm to 70mm,3346
Groundnut,29,15,Industry,8mm to 90mm,5302
Sawdust,22,28,Industry,8mm to 90mm,4001
Sawdust,27,15,Industry,8mm to 90mm,3898
Cowdung,78,39,Land,8mm to 20mm,3150
Groundnut,34,10,Industry,8mm to 90mm,5183
Pressmud,47,27,Sugarcane Industry,12mm to 20mm,1949
Groundnut,26,8,Industry,8mm to 90mm,5495
Groundnut,24,2,Industry,8mm to 90mm,4891
Paddy Straw,15,40,Farming Land,12mm to 70mm,3026
Pressmud,44,33,Sugarcane Industry,12mm to 20mm,1981
Groundnut,40,3,Industry,8mm to 90mm,5363
Pressmud,57,27,Sugarcane Industry,12mm to 20mm,2008
Pressmud,58,35,Sugarcane Industry,12mm to 20mm,1886
Paddy Straw,21,36,Farming Land,12mm to 70mm,3020
Cowdung,66,46,Land,8mm to 20mm,3369
Paddy Straw,11,30,Farming Land,12mm to 70mm,3565
Groundnut,25,12,Industry,8mm to 90mm,5394
Groundnut,32,10,Industry,8mm to 90mm,4794
Paddy Straw,28,43,Farming Land,12mm to 70mm,3437
Paddy Straw,29,49,Farming Land,12mm to 70mm,3471
Cowdung,72,36,Land,8mm to 20mm,3585
Sawdust,16,15,Industry,8mm to 90mm,4265
Paddy Straw,15,39,Farming Land,12mm to 70mm,2923
Sawdust,23,28,Industry,8mm to 90mm,4355
Pressmud,53,39,Sugarcane Industry,12mm to 20mm,2325
Sawdust,25,17,Industry,8mm to 90mm,3997
Pressmud,53,31,Sugarcane Industry,12mm to 20mm,2055
Sawdust,15,29,Industry,8mm to 90mm,3910
Pressmud,57,37,Sugarcane Industry,12mm to 20mm,1871
Groundnut,34,6,Industry,8mm to 90mm,5171
Pressmud,46,25,Sugarcane Industry,12mm to 20mm,1943
Pressmud,42,38,Sugarcane Industry,12mm to 20mm,2250
Cowdung,72,48,Land,8mm to 20mm,3379
Cowdung,75,50,Land,8mm to 20mm,3592
Paddy Straw,26,40,Farming Land,12mm to 70mm,3522
Sawdust,21,26,Industry,8mm to 90mm,3584
Groundnut,29,15,Industry,8mm to 90mm,4736
Paddy Straw,14,48,Farming Land,12mm to 70mm,3402
Sawdust,10,18,Industry,8mm to 90mm,3988
Cowdung,63,35,Land,8mm to 20mm,3638
Cowdung,64,30,Land,8mm to 20mm,3456
Pressmud,44,33,Sugarcane Industry,12mm to 20mm,1736
Paddy Straw,30,48,Farming Land,12mm to 70mm,3774
Cowdung,64,34,Land,8mm to 20mm,3467
Paddy Straw,17,34,Farming Land,12mm to 70mm,3509
Groundnut,35,7,Industry,8mm to 90mm,4603
Groundnut,32,10,Industry,8mm to 90mm,4719
Groundnut,40,1,Industry,8mm to 90mm,4948
Sawdust,25,22,Industry,8mm to 90mm,4144
Pressmud,42,36,Sugarcane Industry,12mm to 20mm,2043
Sawdust,22,23,Industry,8mm to 90mm,3578
Cowdung,78,40,Land,8mm to 20mm,3329
Cowdung,68,42,Land,8mm to 20mm,3339
Cowdung,67,34,Land,8mm to 20mm,3412
Sawdust,17,26,Industry,8mm to 90mm,4180
Cowdung,70,30,Land,8mm to 20mm,3708
Sawdust,28,28,Industry,8mm to 90mm,4215
Groundnut,38,17,Industry,8mm to 90mm,5032
Groundnut,23,2,Industry,8mm to 90mm,4543
Groundnut,24,3,Industry,8mm to 90mm,5230
Pressmud,42,30,Sugarcane Industry,12mm to 20mm,2207
Sawdust,23,28,Industry,8mm to 90mm,3562
Paddy Straw,24,38,Farming Land,12mm to 70mm,2981
Sawdust,14,25,Industry,8mm to 90mm,4125
Sawdust,30,25,Industry,8mm to 90mm,4391
Pressmud,51,39,Sugarcane Industry,12mm to 20mm,1965
Groundnut,37,3,Industry,8mm to 90mm,5277
Groundnut,29,1,Industry,8mm to 90mm,4544
Paddy Straw,27,49,Farming Land,12mm to 70mm,2997
Cowdung,63,49,Land,8mm to 20mm,3924
Paddy Straw,25,33,Farming Land,12mm to 70mm,3530
Pressmud,55,38,Sugarcane Industry,12mm to 20mm,1816
Sawdust,12,29,Industry,8mm to 90mm,3885
Paddy Straw,26,36,Farming Land,12mm to 70mm,3002
Paddy Straw,17,34,Farming Land,12mm to 70mm,3208
Cowdung,68,30,Land,8mm to 20mm,3773
Pressmud,46,24,Sugarcane Industry,12mm to 20mm,2365
Groundnut,30,13,Industry,8mm to 90mm,4847
Pressmud,47,34,Sugarcane Industry,12mm to 20mm,2273
Sawdust,10,23,Industry,8mm to 90mm,3604
Groundnut,34,9,Industry,8mm to 90mm,5174
Cowdung,71,33,Land,8mm to 20mm,3418
Cowdung,74,37,Land,8mm to 20mm,3049
Cowdung,61,42,Land,8mm to 20mm,3708
Sawdust,30,15,Industry,8mm to 90mm,4185
Paddy Straw,29,32,Farming Land,12mm to 70mm,3355
Cowdung,65,30,Land,8mm to 20mm,3005
Groundnut,33,11,Industry,8mm to 90mm,5038
Sawdust,27,21,Industry,8mm to 90mm,4149
Sawdust,24,24,Industry,8mm to 90mm,3907
Groundnut,28,16,Industry,8mm to 90mm,4643
Sawdust,26,12,Industry,8mm to 90mm,4203
Groundnut,29,0,Industry,8mm to 90mm,5342
Paddy Straw,16,35,Farming Land,12mm to 70mm,3769
Pressmud,45,38,Sugarcane Industry,12mm to 20mm,2320
Cowdung,78,50,Land,8mm to 20mm,3374
Cowdung,78,38,Land,8mm to 20mm,3373
Paddy Straw,13,33,Farming Land,12mm to 70mm,3632
Cowdung,80,35,Land,8mm to 20mm,3399
Groundnut,37,3,Industry,8mm to 90mm,5197
Pressmud,53,25,Sugarcane Industry,12mm to 20mm,1940
Groundnut,39,12,Industry,8mm to 90mm,4623
Groundnut,34,19,Industry,8mm to 90mm,5354
Paddy Straw,18,41,Farming Land,12mm to 70mm,3601
Cowdung,77,30,Land,8mm to 20mm,3264
Cowdung,77,45,Land,8mm to 20mm,3942
Pressmud,46,26,Sugarcane Industry,12mm to 20mm,2250
Cowdung,79,38,Land,8mm to 20mm,3113
Cowdung,62,33,Land,8mm to 20mm,3244
Sawdust,22,28,Industry,8mm to 90mm,4007
Groundnut,22,6,Industry,8mm to 90mm,4820
Pressmud,58,34,Sugarcane Industry,12mm to 20mm,1601
Sawdust,18,27,Industry,8mm to 90mm,3731
Paddy Straw,11,47,Farming Land,12mm to 70mm,3009
Pressmud,41,28,Sugarcane Industry,12mm to 20mm,1656
Groundnut,32,8,Industry,8mm to 90mm,5368
Groundnut,20,20,Industry,8mm to 90mm,4720
Pressmud,43,38,Sugarcane Industry,12mm to 20mm,2045
Pressmud,41,37,Sugarcane Industry,12mm to 20mm,1987
Cowdung,68,36,Land,8mm to 20mm,3032
Paddy Straw,12,49,Farming Land,12mm to 70mm,3324
Groundnut,35,18,Industry,8mm to 90mm,4661
Cowdung,73,47,Land,8mm to 20mm,3747
Pressmud,42,26,Sugarcane Industry,12mm to 20mm,1812
Paddy Straw,19,50,Farming Land,12mm to 70mm,3877
Paddy Straw,21,31,Farming Land,12mm to 70mm,3380
Sawdust,15,17,Industry,8mm to 90mm,3796
Sawdust,30,27,Industry,8mm to 90mm,3836
Paddy Straw,19,34,Farming Land,12mm to 70mm,3219
Cowdung,80,45,Land,8mm to 20mm,3566
Groundnut,28,16,Industry,8mm to 90mm,5104
Paddy Straw,26,40,Farming Land,12mm to 70mm,2966
Pressmud,53,36,Sugarcane Industry,12mm to 20mm,1612
Groundnut,23,15,Industry,8mm to 90mm,5054
Sawdust,30,23,Industry,8mm to 90mm,3969
Paddy Straw,19,35,Farming Land,12mm to 70mm,3499
Sawdust,28,12,Industry,8mm to 90mm,4491
Pressmud,52,32,Sugarcane Industry,12mm to 20mm,1549
Paddy Straw,13,38,Farming Land,12mm to 70mm,2927
Cowdung,64,37,Land,8mm to 20mm,3593
Groundnut,29,3,Industry,8mm to 90mm,5169
Pressmud,41,23,Sugarcane Industry,12mm to 20mm,2346
Groundnut,34,10,Industry,8mm to 90mm,5253
Paddy Straw,24,36,Farming Land,12mm to 70mm,3126
Sawdust,19,29,Industry,8mm to 90mm,3511
Pressmud,55,20,Sugarcane Industry,12mm to 20mm,1694
Pressmud,52,29,Sugarcane Industry,12mm to 20mm,1870
Pressmud,46,29,Sugarcane Industry,12mm to 20mm,1842
Pressmud,40,35,Sugarcane Industry,12mm to 20mm,2234
Paddy Straw,15,34,Farming Land,12mm to 70mm,2952
Paddy Straw,29,48,Farming Land,12mm to 70mm,3280
Sawdust,24,19,Industry,8mm to 90mm,3651
Sawdust,12,23,Industry,8mm to 90mm,3527
Cowdung,79,48,Land,8mm to 20mm,3747
Cowdung,74,41,Land,8mm to 20mm,3207
